Altersgruppe,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76-Jaehrige,190672,147424,111561,101169,102914,156649,204158,209048,202039,190057,194176,220768,231082,246336,272275,272147,280555,266492,260888,261773,324896,344499,356626,368683,394993,420883,425109,402378,329782,336110,325168,238135
77-Jaehrige,184460,177574,137557,104197,94706,96276,146628,191450,196399,190351,179489,183764,209131,218806,233926,258321,258979,267062,253724,248573,249832,305868,329803,341630,354121,379043,404467,408245,386471,317005,322499,311304
78-Jaehrige,174056,170300,164530,127475,96852,87777,89631,136681,178848,183650,178493,168634,173095,196910,206785,220831,244323,244995,252764,240357,235980,233524,291345,314317,326505,338294,362215,387037,390499,370011,303252,307745
79-Jaehrige,151229,159148,156613,151321,117526,89458,81056,82954,126572,166129,171016,166706,157592,162044,184861,194331,207807,229810,230431,238101,226707,219102,220938,276006,298913,310317,321645,344699,368391,372039,352294,288061
80-Jaehrige,138137,137105,144937,142594,138330,107398,81904,74327,76325,116727,153491,158488,154664,146140,151132,172531,181756,194425,214730,215399,222904,208649,205791,207639,260419,281699,293429,304436,326093,349356,351946,332830
81-Jaehrige,126355,123955,123666,130759,129069,125327,97314,74603,67767,69794,107032,141000,145845,142313,135176,139994,160204,168774,180428,199384,200258,203389,194328,192103,194658,243568,264228,275597,285975,307110,328240,329868
82-Jaehrige,109632,111729,110409,110362,117002,115680,112467,87605,67416,61389,63215,97383,128495,133116,130514,123911,128719,147388,155470,166039,183729,182267,187993,179748,178403,180373,226608,245984,256856,267416,286767,305937
83-Jaehrige,96388,95986,98240,97406,97578,103804,102545,100448,78338,60400,55024,57017,87736,115805,120778,118401,112967,117711,134585,141915,152112,164421,166713,171834,165283,163714,166139,208971,227215,238102,247423,264560
84-Jaehrige,80159,83202,83588,85278,85103,85398,91045,90436,88723,69240,53661,49201,50798,78120,103868,108358,106504,101864,106415,121630,128630,134331,148968,150781,156351,150123,149137,151681,190985,208306,217942,226204
85-Jaehrige,68485,68131,71494,71646,73406,73532,73763,79039,78683,77476,60734,47374,43266,44851,69378,92140,96360,95279,90860,94959,108725,111733,120209,133144,135621,139960,135075,134100,136758,173057,187959,196689
86-Jaehrige,56059,57405,57781,60214,60720,62481,62593,63142,67954,67681,66943,52620,41254,37576,39361,60636,81067,84709,83790,79996,84080,93175,98820,106160,118138,119675,124399,120032,119111,122162,154222,167303
87-Jaehrige,43526,46179,47710,48024,50224,50799,52215,53057,53412,57443,57455,57268,45035,35290,32508,34046,52739,70068,73486,72640,69532,69766,81020,85921,92916,102853,104534,108785,105079,104742,106862,134892
88-Jaehrige,34856,35337,37851,38949,39579,41323,41976,43464,44066,44525,48104,48204,48041,37820,30144,27701,29064,44973,59961,62749,62123,57204,59731,69287,74263,79586,88436,89777,93717,90999,90160,91733
89-Jaehrige,26486,27785,28473,30516,31483,32077,33506,34220,35496,35962,36585,39722,39697,39547,31701,25216,23284,24545,37732,50144,52821,49580,48033,50063,58715,62456,67258,74526,75635,79406,76405,75725
90 Jahre und mehr,58629,63979,69922,74649,80620,86152,91254,97166,102837,110291,116528,123082,130577,136075,142014,139657,133539,128505,125530,134864,153946,123468,135282,142529,151624,163672,177798,191277,207593,223218,235269,240917
